Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
boorna  	nominal. piece, scrap. Manyi mirndidi doogbirra boornayirra ngabgoo gambangarri. They used to pound dry bread to pieces for eating soaked in water.  [JS, McGregor] Category: food.
boornarra  	[boor-narra] nominal. mark, design. Ngawayangga boornarra ngaragnga walyarraya. The freshwater mussel has made a mark on the sand.  [BC] Category: Land.
boornbirrinyi  	[boorn-birri-nyi] nominal. type of tree. grows along creeks and rivers.  [RC, TC] Category: trees.
boornda  	[boorn-da] nominal. spangled perch. Leiopotherapon unicolor. used as bait for big fish.  [RC, Inland fishes 49, KLC fish poster] Category: fish.
boorndoo  	[boorn-doo] verb. to bring a third party into a fight. Yoowooloo yoowarningga boorndoonganhi yaanyayoo yoowooloo thirriya. One man was taking the place for another man in the fight. Category: actions.
boorndoowali  	[boorndoo-wali] nominal. wide headband,  and red headband. Ques: is this one headband or two?  [MQ] Category: culture, check.
boornoong  	[boorn-oong] bivalent verb. follow (e.g. a river or road). Goornboo garndiwirringga boornoong birrayoo warlibirri gindiwa gamba nyamaniyirra. The two women followed the riverbed upstream to a big waterhole.  [TC, McGregor] Category: motion.
booroo  	[boo-roo] 1 • monovalent verb. hide. Lambardi marlara booroowani gilirniya, ngarranyoowangga moowoongani. The little girl hid in the grass, while her mother was looking for her. Category: actions.
2 • nominal. nest of soft bedding for birds. Jirigingga ngaragmi booroo gilirningarri, galamandangarri. The bird made its nest out of grass and mud. Category: home.
3 • nominal. corroboree dressing room. dressing room enclosure where dancers are obscured from view as they prepare for a corroboree. Yoowooloo bijngarni booroo nhingi jarryi joonba. The man emerged from the enclosure and danced the coorroboree.  [TC, DS] Category: culture.
boorooj  	[boo-rooj] ambivalent verb. play. Gambay boorooji gambaya. The boy was playing in the water.  [TC] Category: actions.
booroorr  	[boo-roorr] verb. wipe bottom. Lambardi niyaji booroorrma malyi. Wipe that little kid's buttom. Category: actions.
booroowa  	[boo-roo-wa] verb. hakea. Hakea arborescens. The wood from the hakea is used for making boomerangs and fighting sticks.  [SL, JS] Category: trees.
boorr  	bivalent verb. rub together. Joornda boorrwirra jarrja nyirlimgoo, niyi nhingi warwirra yamadiya They used to rub the bush onions together to remove their skins, and then they used to winnow them in the coolamon.  [TC, RC] Category: actions.
boorrngoondoo  	[boorr-ngoon-doo] nominal. white flakey substance found on river red gum leaves. An edible white flakey substance, or lerp, found on the leaves of red river gum trees.  It is made by insects of the Glycaspis genus. It is available during the hot/dry season.  [JS, LC, WB] Category: bush food.
boorrool  	[boo-rrool] nominal. snore. Maningga thanymilirla boolga boorroolyi maya. Last night I heard the old man snoring very loudly. Category: describers.
boorrooloo  	[boorroo-loo] nominal. small intestine.  [TC] Category: body parts and products.
boorroombi  	[boorroom-bi] nominal. insect-eating ghost bat. Lives in caves. Australia's only carniverous bat (see http://www.australianfauna.com/ghostbat.php ).  [RC, Mammals of Australia 446, conflicting data Tamsin and GW] Category: animals.
boorroonggoo  	[boorroong-goo] adverb. northward, towards the north. Ques: perhaps needs example sentence to show difference from boorroonggoongarri  [WB] Category: directions, check.
boorroonggoongarri  	[boorroong-goo-ngarri] adverb. northward, facing towards the north.  [WB] See: booroonggoo. Category: directions, check.
boorroorl  	[boorr-oorl] monovalent verb. bubble, boil. Gamba boorroorlboorroorliri. The water is boiling.  [SL] Category: actions.
boorroorndo  	[boorroorn-doo] nominal. turpentine wattle. Acacia lysiphillum. The sticky leaves are boiled to make an infusion to bathe sores and drunk to treat colds.  [Plants of the Kimberley 118, WB, LC] Category: plants.
boorrooyoondoo  	[boorro-yoondoo] nominal. Christmas beetle. many taxa. Category: insects spiders.
boowoo  	[boo-woo] bivalent verb. blow (something). Goornbooga joordoo boowoominhi gambayiya moorloonhingi. The woman blew a speck of dust out of the boy's eye.  [TC] Category: actions.
boowoorroo  	[boo-woorroo] adverb. north, in the north.  [WB] Category: directions.
boowoorroongoo  	[boo-woo-rroo-ngoo] adverb. from the north. Yiwirndi nyamani bijngarni boowoorroongoo. A big rainstorm came from the north. Category: directions.
booyoorrbooyoorr  	[boo-yoorr-boo-yoorr] monovalent verb. whirlwind swirling . Girngali booyoorrbooyoorryi riwi binyi. A whirlwind was swirling through the camp. Can describe the action of a willywilly.  [TC, MS] Category: actions.
brag  	monovalent verb. approach. Marlngarri bragmaninhi yoowoolooyoo thirringarri. The white man approached the man threateningly.  [TC] Category: motion.
bragarr  	ambivalent verb. approach in a group or mob, stampede. Booloomani garndiwa bragarrgarrwinmi babirnali gambanhingi. A herd of cattle stampeded up from the waterhole.  [TC] Category: motion.
branggarr  	[brang-garr] nominal. hip. Ngarragi branggarr yijgawoo. My hip is no good. See: mirali. Category: body parts and products.
brimin  	monovalent verb. clasp arms behind one's back. Goornboo wardji briminmawoo. The woman went along, clasping her arms behind her back.  [TC] Category: posture.
brirrgi  	[brirr-gi] nominal. ask question over and over again. Jaji nhinigi marlngarringga brirrgijingga? Why did the white man ask you the question over and over? Category: motion.
briyali  	[bri-yali] nominal. conkerberry bush. Carissa lanceolata. Manyi briyali gooroogooro bagiri moorla joornanygarra ngabgoo. The fruit of the conkerberry is black when it is ripe and is good to eat. The smoke of the orange inner wood of the stems and roots, often with the leaves of coolabah, is used medicinally and to make small children grow strong.  Also used in the cleansing stages of funeral ceremonies.  [WB, JD, B&B 60] Category: bush food.
briyandi  	[bri-yandi] verb. give back in return, reciprocate. Goornbooga nganggindi maa moorla, nganyingga briyandi ngangli manyi. The woman gave me cooked meat and in return I gave her food.  [TC] Category: actions.
broowooloo  	[broo-woo-loo] nominal. long yam, bush carrot. Vigna vexilla. The long, thin tuber is dug out of the ground and lightly roasted. The yams are best eaten in the cold weather of the early to mid dry weather.  [Glenn Wightman] Category: bush food.
D  -  d
Danggoo  	[Dang-goo] nominal. spring water on the Christmas Creek river on Christmas Creek Station. Ques: Is Christmas Creek really a river?  [TC] Category: Placenames and Country, check.
Dawarriya  	[Dawa-rriya] nominal. Trig Hill water hole on the Fitzroy River between GoGo Station and Jubilee Downs Station.  [RC, SL] Category: Placenames and Country.
Dirdilyngarri  	[Dirdily-ngarri] nominal. Blackhills Waterhole on the Margaret River on Mt. Pierre Station.  [JD] Category: Placenames and Country.
Doombaya  	[Doom-baya] nominal. waterhole on the Christmas Creek river on Bohemia Downs Station. Category: Placenames and Country.
Doorroorroo  	[Doo-rroo-rroo] nominal. section of O'Donnell River on Louisa Downs Station.  [MS] Category: Placenames and Country.
dagoorla  	[da-goorla] nominal. hole in the ground, deep waterhole.  [TC, WB] Category: Land.
dagoorladagoorla  	[dagoorla-dagoorla] nominal. potholes. Category: Land.
dagoorr  	[da-goorr] verb. 1 • enter, go in. Barlanyi dagoorrwani goorrgooya. The snake went into the hole. Category: actions.
2 • put in, insert. Garanyi dagoorrwirrarri maaya. They put hot stones into the meat.  [TC, ET] Category: actions.
daj  	verb. put on (e.g. clothes). Malarangga dajjingi nyamani warrayoondoo. The girl put on a big dress. Category: actions.
dalany  	[da-lany] monovalent verb. bang, make noise. Mawalyi dalanybirri, mooyoo marlami bagingi lanygiya. The kids were banging around, I didn't get any sleep yesterday. This is about the noise of banging something with a stick or of  heavy drops of rain falling on a roof.  [LC, SL] Category: actions.
dalyalya  	[dalya-lya] nominal. lightning bolt.  [BC, MS] Category: elements.
dalyarr  	[daly-arr] monovalent verb. slide. Mawilyi dalyarrwanbirri galamandaya. The kids were sliding on the mud. Category: actions.
dambidi  	[dam-bidi] nominal. death adder. Acanthopis praelongus.  [Reptiles and Amphibians 634, JS, SL] Category: snakes.
damboorlg  	[dam-boorlg] monovalent verb. make a splash. Mawilyi damboorlgbirri gambaya, gawi marlami doowoorla. The kids splashed about in the water, and I didn't get any fish.  [JS] Category: actions.
danggawoo  	[dangga-woo] nominal. barn owl. tyto alba. other names: delicate owl, screech owl, white owl, lesser masked owl. See: jarrawara.  [TC] Category: birds.
dar  	bivalent verb. chop out (e.g. honey). Goornbooga darnga ngalinya girili joowooljidiya. The woman chopped the honey out of the bauhinia tree. Dar is associated with the sound of chopping.  It can also be used for the sound of cracking a whip.  [TC] Category: actions.
dard  	bivalent verb. hang up. Yoowooloongga dardbarri maa moorla laandi giriliya The man hung the cooked meat high up in the tree.  [TC] Category: actions.
dardigirr  	[dardi-girr] bivalent verb. hit someone/something by mistake. Dardigirrlimi tharra gardjilarni, gambayirni gardloonoo. I was going to hit the dog, but I hit the boy by mistake.  [TC, RC] Category: actions.
daring  	[da-ring] verb. tip sideways. Jiginya daringbani ngirriwarndi yamadiyangga. The baby tipped over sideways from the coolaman.  [TC] Category: actions.
darla  	nominal. honeycomb in native bee nest containing eggs.  [TC] Category: insects and spiders.
darlg  	ambivalent verb. make a resonant sound. Barlgayoo dawawa darlgmi. The swim bladder of the barramundi made a resonant sound. This is a sound that a barramundi makes under water by expanding its swim bladder.  [TC] Category: actions.
darlgi  	[darl-gi] nominal. hook stick or fish hook. Ngangbidi girili darlgi maa thoorrboordjawilarni wayandinhingi. Give me a hooked stick so that I can hook up the meat from the fire. Category: artifacts.
darlig  	[darl-ig] ambivalent verb. hit on the head. Tharra darligloonoo mirraya, joorralimi riwi nhingi. I hit the dog on the head, and chased him out of the house.  [TC, NC, RC] Category: actions.
darloo  	nominal. wild mango. Buchanania obovata. Has a small green fruit which is soft when ripe, in the wet season.  [BC, MS, B&B 59] Category: bush food.
darloorr  	[darl-oorr] monovalent verb. splash about in water. Nginyji darloorrwiri ngoorroobinyi gawi joorrawa ngarragi mirnaloogoo. You splash about on that side and hunt the fish this way towards me.  [TC, RC] Category: actions.
darrag  	monovalent. stuff. Yoowooloongga darragbarri garanyi garnanganyjaya wooboowoo bandaya. The man stuffed the hot stones in the emu to cook in the ground. Category: impact and violence.
darrard  	[darr-ard] monovalent verb. get bogged (in mud or sand). Booloomani darrardbani galamandaya. The bullock got bogged in the mud.  [SL] Category: actions.
darrg  	bivalent verb. kill (unintentionally). Yoowarningga yoowooloo darrgbarrinhi yaanyaya yoowooloo jinyba ngarringga One man killed another man unintentionally with a boomerang. This is the act of hitting someone and killing them without intending to.  It is like an act of manslaughter.  [TC, DS] Category: actions.
darrjirl  	ambivalent verb. get an inspiration (eg for song or corroboree). Yoowooloongga darrjirlmi joonba gooni nhingi. The man inspirated this song from Dreaming. Someone might receive an idea for a corroboree while dreaming or in a dream-like state.  [TC, SL, RC] Category: culture.
dawa  	nominal. traditional owner. Nganyi dawangarri ngirndajiyoo riwi. I'm a traditional owner for this country. A traditional owner is a person who belongs to certain country and can speak for that country.  [SL, RC, MS] Category: people.
dawawa  	[dawa-wa] nominal. swim bladder of barramundi.  [SL, TC] Category: fish.
dawimbirr  	[dawim-birr] monovalent verb. go down. Wamba ligawiri warramba dawimbirr yawani. You wait until the floodwater goes down. Usage: This word is old language and is not used any more..  [TC] Category: old language.
dawoong  	[da-woong] ambivalent verb. love. Ques: Is this a general term for love or does it only refer to falling in love with someone? Yoowooloongga dawoongmi yaanya goornboo. The man fell in love with another woman.  [TC] Category: motion, check.
didir  	[di-dir] ambivalent verb. shake. Nganyingga banda didirloonoo thiladi nhingi. I shook the dirt off the blanket.  [TC, NC, RC] Category: motion.
digij  	[di-gij] verb. sway. Gambayi lambardi digijji yamadiya. The little boy was swaying in the coolaman. Category: actions.
